Timestamp,Message,Message Type,Response,Response Type,Response Group,Response Accuracy,Accuracy Diagnosis,Fixed or Improved,Negative Sentiment,Notes
2/12/19 1:25PM,Victim Services,Button,NYU cares about its community and is committed to helping those who are the victims of crimes. They walk those requesting assistance through the process of filing a police report and explain other judicial processes.,PS Victim Services,Public Safety,Full,,FALSE,FALSE,
2/12/19 1:26PM,Safety Tips,Button,Here are some of the need-to-know safety tips for your time at NYU:,PS Safety,Public Safety,Full,,FALSE,FALSE,
2/12/19 1:26PM,who's in charge,Freeform,I think I misunderstood. Would you like me to connect you with one of my humans? ✏️,Fallback,Fallback,None,Vague,TRUE,FALSE,
2/12/19 1:27PM,diversity,Freeform,Check out one of NYU's centers for diversity:,Diversity Menu,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 1:27PM,🙏 GSL,Button,For resources on NYU Spiritual Life:,Spiritual Life Menu,Global Spiritual Life,Full,,FALSE,FALSE,
2/12/19 1:27PM,🙏 Office of GSL,Button,"Global Spiritual Life at NYU is an open, authentic, and vibrant community at the forefront of international conversations on religion and spirituality. Their mission is to offer environments and tools for transformative multifaith and spiritual encounters at NYU and beyond.",GSL Welcome,Global Spiritual Life,Full,,FALSE,FALSE,
2/12/19 2:18PM,Event calendar,Freeform,"For all of NYU's awesome events, check out their calendar:",?Events,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 2:21PM,Menus,Freeform,"18 Below
18 Waverly Pl., New York, NY 10003
Menu
Take me there!
Jasper Kane
6 MetroTech Center, Brooklyn, NY 11201
Menu
",Dining Menus,Dining,Full,,FALSE,FALSE,
2/12/19 2:21PM,✨ Get Involved,Button,For questions about how to get involved at NYU:,Get Involved Menu,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 2:21PM,🏈 Athletics,Button,"NYU Athletics works to create an environment where students can flourish intellectually, athletically, and personally.
What would you like to know more about?",Athletics Welcome,Athletics,Full,,FALSE,FALSE,
2/12/19 2:22PM,menus,Freeform,"18 Below
18 Waverly Pl., New York, NY 10003
Menu
Take me there!
Jasper Kane
6 MetroTech Center, Brooklyn, NY 11201
Menu
Take me there!",Dining Menus,Dining,Full,,FALSE,FALSE,"User probably meant bot menus, not dining"
2/12/19 2:22PM,what time will bobst closed today?,Freeform,"The general hours for Bobst are:
Open Stacks	
7 to 1AM

Library Privileges	
9AM to 7PM

Circulation & Reserves	
9AM to 10:30PM

Lower Levels 1 & 2	
24 Hours

Ask a Librarian	
24 Hours
For a more detailed list of hours
Click Here",Bobst Hours,Libraries,Full,,FALSE,FALSE,User liked the reply
2/12/19 2:22PM,💭 Feedback,Button,Thank you for taking the time to let me know how we're doing. I'm excited to hear your throughts! What do you want to give me feedback on?,Feedback Welcome,Feedback,Full,,FALSE,FALSE,
2/12/19 2:22PM,💜 NYU,Button,What would you like to tell me about NYU? Please answer in a single message so nothing gets lost.,Feedback NYU,Feedback,Full,,FALSE,FALSE,
2/12/19 2:22PM,menu,Freeform,"If you'd like my team to respond to you, please let me know your email address!",Feedback NYU,Feedback,None,AI,TRUE,FALSE,"User was stuck in Feedback input; probably wanted to quit to menu, but instead this got logged as feedback"
2/12/19 2:22PM,Bobst floor plan,Freeform,"Lower Level 2
Leisure Books
Lower Level 1
Leisure Books
Floor 3
Fales & Special Collections
Journals & Newspapers, Current Issues
Floor 4
A, B, C, D–DS, oversize A-C
Floor 6
DT-DZ, E, F, G, H-HA, oversize D-HA
Children's Literature
U.S., UN, & Int. Doc
Floor 7
M
Avery Fisher Center
Floor 8
P, HB-HJ
British Parliamentary Papers
Floor 9
HM-HZ, J, K, L, N, Q, R, S, T, U, V, Z
Floor 10
East Asian Materials
Tamiment & Wagner Labor Archives
University Archives",Bobst Floor Plan,Libraries,Full,,FALSE,FALSE,
2/12/19 2:22PM,Academic Calendar,Freeform,"For the academic calendar
Click here!",?Academic Calendar,Academics,Full,,FALSE,FALSE,
2/12/19 2:22PM,NYU classes,Freeform,"Everyone has that friend who swears by The Science of Happiness or some other super fun class you’re really jealous of. Well, my humans dug around Albert to find some of the coolest classes available, whether you want to take them or just brag about how dope NYU is.",Cool Classes,Academics,Partial,Vague,TRUE,FALSE,
2/12/19 2:22PM,I want to talk to a human,Freeform,I will now connect you with one of my humans!,Live Chat,Human,Full,,FALSE,FALSE,
2/12/19 2:23PM,Where is gcasl,Freeform,"The address for GCASL is:
238 Thompson St., 
New York, NY 10012",GCASL Address,Campus,Full,,FALSE,FALSE,"User replied ""Damn"""
2/12/19 2:23PM,Academic calendar,Freeform,For the academic calendar,?Academic Calendar,Academics,Full,,FALSE,FALSE,
2/12/19 2:23PM,Red balls,Freeform,I think I misunderstood. Would you like me to connect you with one of my humans? ✏️,Fallback,Fallback,None,Typo,FALSE,FALSE,"Typo for ""res halls"", which user tried again immediately"
2/12/19 2:23PM,Res halls,Freeform,Do you want to explore Manhattan or Brooklyn Halls?,Residence Halls,Housing,Full,,FALSE,FALSE,
2/12/19 2:23PM,Manhattan,Button,Which Manhattan Residence Hall would you like more information about?,Residence Halls Manhattan,Housing,Full,,FALSE,FALSE,
2/12/19 2:23PM,This one!,Button,What would you like to know about Palladium?,Palladium Menu,Housing,Full,,FALSE,FALSE,
2/12/19 2:23PM,Parking,Freeform,A Guide to Impressing Your NYC Visitors: Prospect Park,Area Prospect Park,NYC,None,No content,FALSE,FALSE,
2/12/19 2:23PM,Who teaches CSCI-UA 102?,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,No content,FALSE,FALSE,Interesting question — should be possible with a chatbot.
2/12/19 2:23PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
2/12/19 2:23PM,📚 Bobst,Button,"From the time of its founding in 1831 until 1973, New York University housed its library collections in various campus locations. Of course none of them is known better to us today than Bobst!",Bobst Welcome,Libraries,Full,,FALSE,FALSE,
2/12/19 2:23PM,America reads phone number,Freeform,"Join America Reads and Counts and help children in NYC public schools learn to read and improve math skills. This tutoring program comes with a paycheck!
Want to get involved?
More Info
Sign up now!",Service America Reads,Center for Student Life,Full,,FALSE,FALSE,Phone number is within link
2/12/19 2:23PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
2/12/19 2:23PM,sustainability,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,No content,TRUE,FALSE,
2/12/19 2:23PM,I'm interested in learning more about Sustainability,Freeform,"The University Learning Center's mission is to assist students in developing the knowledge base, skills, and strategies that will help them to become confident, independent, and active learners. Its various academic support services are intended to help students meet the challenge of NYU's rigorous academic standards",ULC Welcome,ULC/ARC,None,No content,TRUE,FALSE,
2/12/19 2:23PM,🌇 NYU & NYC,Button,Want to know where the best places to nap or where to get something to eat at 3AM? I've got you covered!,Explore NYU & NYC Welcome,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 2:23PM,💜 NYU Traditions,Button,These events will make any NYU experience truly one to remember!,NYU Traditions Welcome,NYU Traditions,Full,,FALSE,FALSE,
2/12/19 2:23PM,Bus A,Freeform,Route A offers transportation between Washington Square and Tandon in Brooklyn.,Bus A,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:23PM,📍Live Map,Button,"For a live map of NYU buses
Click Here!",Live Map,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:23PM,Bus Route F,Freeform,"Route F is the 3rd Ave Express going to Coral, Founders, Gramercy Green, Palladium, & Third North.",Bus F,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:23PM,📍Live Map,Button,"For a live map of NYU buses
Click Here!",Live Map,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:23PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
2/12/19 2:23PM,💭 Feedback,Button,Thank you for taking the time to let me know how we're doing. I'm excited to hear your throughts! What do you want to give me feedback on?,Feedback Welcome,Feedback,Full,,FALSE,FALSE,
2/12/19 2:23PM,💜 NYU,Button,What would you like to tell me about NYU? Please answer in a single message so nothing gets lost.,Feedback NYU,Feedback,Full,,FALSE,FALSE,
2/12/19 2:24PM,Office of admission phone number,Freeform,There are many ways to reach them:,UA Contact,Admissions,Full,,FALSE,FALSE,
2/12/19 2:24PM,Floor Plan,Button,"This is just a sample floor plan in Palladium Hall. If you'd like to see others
Click here!",Palladium Floor Plan,Housing,Full,,FALSE,FALSE,
2/12/19 2:24PM,Cost,Button,"
For the 2018-2019 Proposed Housing Rates*
*Subject to change
www.nyu.edu
Click Here!
Check back soon for the 2019-2020 housing rates!",?Housing Cost,Housing,Full,,FALSE,FALSE,
2/12/19 2:24PM,Validate parking,Freeform,A Guide to Impressing Your NYC Visitors: Prospect Park,Area Prospect Park,NYC,None,No content,FALSE,FALSE,
2/12/19 2:24PM,💭 Feedback,Button,Thank you for taking the time to let me know how we're doing. I'm excited to hear your throughts! What do you want to give me feedback on?,Feedback Welcome,Feedback,Full,,FALSE,FALSE,
2/12/19 2:24PM,✨ Get Involved,Button,For questions about how to get involved at NYU:,Get Involved Menu,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 2:24PM,📣 Student Leaders,Button,There are many ways to become a student leader at NYU:,Student Leadership Menu,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 2:24PM,🤝 Student Gov't,Button,"The Student Government Assembly (SGA) is the overarching student government at NYU
What would you like to know about the SGA?",Student Gov Menu,Student Government,Full,,FALSE,FALSE,
2/12/19 2:24PM,What is America reads NYU phone number,Freeform,"Join America Reads and Counts and help children in NYC public schools learn to read and improve math skills. This tutoring program comes with a paycheck!
Want to get involved?
More Info
Sign up now!",Service America Reads,Center for Student Life,Full,,FALSE,FALSE,Phone number inside link
2/12/19 2:24PM,What is the campus status today?,Freeform,"5 - 7 business days after you’ve submitted your application, NYU will let you know that they’ve received your application and will give you information about how to track your status.",?Application Status,Admissions,None,Vague,FALSE,FALSE,
2/12/19 2:24PM,Bus A,Freeform,Route A offers transportation between Washington Square and Tandon in Brooklyn.,Bus A,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:24PM,🛠 Self-Development,Button,For questions about self-development:,Development Menu,Development,Full,,FALSE,FALSE,
2/12/19 2:24PM,📓 Tutoring,Button,"The University Learning Center's mission is to assist students in developing the knowledge base, skills, and strategies that will help them to become confident, independent, and active learners. Its various academic support services are intended to help students meet the challenge of NYU's rigorous academic standards",ULC Welcome,ULC/ARC,Full,,FALSE,FALSE,
2/12/19 2:24PM,Building code,Freeform,NYU's building codes can be confusing. Good thing I have them all memorized!,Building Codes,Campus,Full,,FALSE,FALSE,
2/12/19 2:24PM,Palladium,Freeform,"Hi, I’m BobChat, get it? Like Bobcat?",Welcome Back,Redirects,None,AI,TRUE,FALSE,
2/12/19 2:24PM,what are some environmental clubs,Freeform,"Muslim Student Association
Foster a sense of community among fellow Muslim undergraduate students
www.icnyu.org
More Info
MuCh:Muslim Christian Dialogue at NYU
Find a safe space to discuss Islam and Christianity
www.icnyu.org
More Info
Muslim Graduate Student Group
Engage in meaningful intellectual discourse with fellow Muslim graduate students
www.icnyu.org
More Info

Aftab
Read or contribute to the IC's cultural, spiritual, and self-expressive magazine
www.icnyu.org
More Info
Islamic Student Union At NYUAD
Find support to practice and learn about Islam in NYU Abu Dhabi
www.icnyu.org
More Info
Tandon MSA
Come together in a Muslim environment with fellow Tandon students
www.icnyu.org
More Info

IC Professionals Group
Meet Muslims aged 23+ across NYC in spiritual, professional, and social events
www.icnyu.org
More Info
Convert(s)ation
Find an open and safe environment for individuals newly entering Islam
www.icnyu.org
More Info
",IC Clubs,Global Spiritual Life,None,No content,TRUE,FALSE,
2/12/19 2:24PM,i want to garden,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,No content,FALSE,FALSE,
2/12/19 2:24PM,is there a club for that,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,No context,TRUE,FALSE,
2/12/19 2:24PM,⛪️ Agape Week,Button,"When: Every November
What: Agape Week has the dual purpose of unifying all of the Christian organizations on campus, and engaging a discussion about God, Christianity, and faith
More Info",Agape Week,NYU Traditions,Full,,FALSE,FALSE,
2/12/19 2:24PM,internal transfer,Freeform,"Wondering how to transfer from one NYU school or college to another ?
Clich here!",?Internal Transfer,Academics,Full,,FALSE,FALSE,
2/12/19 2:24PM,admissions,Freeform,For questions about admissions:,Admissions Menu,Admissions,Full,,FALSE,FALSE,
2/12/19 2:24PM,💭 Feedback,Button,Thank you for taking the time to let me know how we're doing. I'm excited to hear your throughts! What do you want to give me feedback on?,Feedback Welcome,Feedback,Full,,FALSE,FALSE,
2/12/19 2:25PM,Event Calendar,Freeform,"For all of NYU's awesome events, check out their calendar:",?Events,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 2:25PM,💭 Feedback,Button,Thank you for taking the time to let me know how we're doing. I'm excited to hear your throughts! What do you want to give me feedback on?,Feedback Welcome,Feedback,Full,,FALSE,FALSE,
2/12/19 2:25PM,Getting Involved,Button,"There are so many ways you can get involved with Student Government!
Join a Student Government Committee
Serve on one of many committees that oversee particular student interests
www.nyu.edu
List of Committees",SG Getting Involved,Student Government,Full,,FALSE,FALSE,
2/12/19 2:25PM,Reserve a Room,Button,"NYU Bobst offers a number of study rooms and spaces! To check them out and reserve a room
Click Here
Would you like me to walk you through how to reserve a room?",Bobst Room Reserve,Libraries,Full,,FALSE,FALSE,
2/12/19 2:25PM,"Yes, please!",Button,"Step #1: Go to the Bobst Room Reserve Site and click the purple ""Reserve a study room"" button
Link here!",Bobst Room Reserve Walkthrough,Libraries,Full,,FALSE,FALSE,
2/12/19 2:25PM,👍 Clicked!,Button,"Step #2: After logging in with your NYU Net ID, pick the date, start time, and length for your study session. Hit ""Determine Availability"" to see what rooms are free",Bobst Room Reserve Walkthrough,Libraries,Full,,FALSE,FALSE,
2/12/19 2:25PM,Academic calendar,Freeform,For the academic calendar,?Academic Calendar,Academics,Full,,FALSE,FALSE,
2/12/19 2:25PM,America reads Phone,Freeform,"Join America Reads and Counts and help children in NYC public schools learn to read and improve math skills. This tutoring program comes with a paycheck!
Want to get involved?
More Info
Sign up now!",Service America Reads,Center for Student Life,Full,,FALSE,FALSE,Phone number within link
2/12/19 2:25PM,Lafayette hall,Freeform,What would you like to know about Lafayette Hall (aka Laf)?,Lafayette Menu,Housing,Full,,FALSE,FALSE,
2/12/19 2:25PM,Bus A,Freeform,Route A offers transportation between Washington Square and Tandon in Brooklyn.,Bus A,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:25PM,📍Live Map,Button,"For a live map of NYU buses
Click Here!",Live Map,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:25PM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
2/12/19 2:25PM,⚡️ Majors,Button,How would you like to look for a major?,Majors Welcome,Majors,Full,,FALSE,FALSE,
2/12/19 2:25PM,By School,Button,What school are you interested in?,Major School Home,Majors,Full,,FALSE,FALSE,
2/12/19 2:25PM,Change Schools,Freeform,"Wondering how to transfer from one NYU school or college to another ?
Clich here!",?Internal Transfer,Academics,Full,,FALSE,FALSE,
2/12/19 2:25PM,Change Majors,Freeform,"Switching majors is school specific. Some can be done online while others are in person
To find out your school's process, check out your school's website or speak with your advisor.",?Switch Majors,Academics,Full,,FALSE,FALSE,
2/12/19 2:26PM,Jobs in library,Freeform,"Looking for a job? NYU CareerNet is the Wasserman Center's online database for jobs, internships, and on-campus employment",On-Campus Employment,Wasserman,Full,,FALSE,FALSE,
2/12/19 2:26PM,When will NYU cancel the classes for the weather?,Freeform,[Application Deadlines graphic],UA Deadlines,Admissions,None,AI,TRUE,FALSE,"User replied ""This is useless"""
2/12/19 2:26PM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
2/12/19 2:26PM,📓 Tutoring,Button,"The University Learning Center's mission is to assist students in developing the knowledge base, skills, and strategies that will help them to become confident, independent, and active learners. Its various academic support services are intended to help students meet the challenge of NYU's rigorous academic standards",ULC Welcome,ULC/ARC,Full,,FALSE,FALSE,
2/12/19 2:26PM,I want to know about steinhardt.,Freeform,"The address for Steinhardt School of Culture, Education and Human Development is:
82 Washington Square East, 
New York, NY 10003",Steinhardt Address,Campus,Partial,AI,FALSE,FALSE,
2/12/19 2:26PM,Res halls,Freeform,Do you want to explore Manhattan or Brooklyn Halls?,Residence Halls,Housing,Full,,FALSE,FALSE,
2/12/19 2:26PM,Manhattan Halls,Button,Which Manhattan Residence Hall would you like more information about?,Residence Halls Manhattan,Housing,Full,,FALSE,FALSE,
2/12/19 2:26PM,When does classes end,Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,AI,FALSE,FALSE,
2/12/19 2:26PM,When does classes end?,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,AI,FALSE,FALSE,
2/12/19 2:26PM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
2/12/19 2:26PM,Steinhardt,Button,What category of Steinhardt majors are you interested in?,Steinhardt Majors,Majors,Full,,FALSE,FALSE,
2/12/19 2:26PM,Arts & Media,Button,"Digital Art and Design
Subtopic: Digital Arts
Note: Minor only
steinhardt.nyu.edu
More Info",Steinhardt Arts & Media,Majors,Full,,FALSE,FALSE,
2/12/19 2:26PM,STEM,Button,"Applied Psychology
Subtopic: Sciences
steinhardt.nyu.edu
More Info",Steinhardt STEM,Majors,Full,,FALSE,FALSE,
2/12/19 2:26PM,Route a,Freeform,Route A offers transportation between Washington Square and Tandon in Brooklyn.,Bus A,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:26PM,🖥 HackNYU,Button,"Check out last year's HackNYU In the making
www.youtube.com
Watch now!
When: Every Feburary
What: Promotes cross-school collaboration to develop new hardware and software technologies that tackle real-world challenges
More Info",HackNYU,NYU Traditions,Full,,FALSE,FALSE,
2/12/19 2:26PM,What time will the university announce if it is closed for night classes tonight?,Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,No answer,FALSE,FALSE,Too specific
2/12/19 2:26PM,Yes,Freeform,I will now connect you with one of my humans!,Live Chat,Human,Full,,FALSE,FALSE,
2/12/19 2:27PM,menus,Freeform,"18 Below
18 Waverly Pl., New York, NY 10003
Menu
Take me there!
Jasper Kane
6 MetroTech Center, Brooklyn, NY 11201
Menu
Take me there!",Dining Menus,Dining,Full,,FALSE,FALSE,"User probably meant bot menus, not dining"
2/12/19 2:27PM,Academic calendar,Freeform,For the academic calendar,?Academic Calendar,Academics,Full,,FALSE,FALSE,
2/12/19 2:27PM,what degrees are offered in steinhardt?,Freeform,"Take advantage of all NYU has to offer by choosing up to two courses during each of the six-week sessions. You'll have the flexibility to create your own schedule and select courses from any of nine colleges. For a full list of courses
Click here!
Visiting Students: You must first submit an admissions application before registering for courses. See the link below to get to the right course search!
Here!",Summer Courses,Special Sessions,None,AI,FALSE,FALSE,"Second attempt; after failing to find answer, user dropped off"
2/12/19 2:27PM,This one!,Button,What would you like to know about Founders Hall?,Founders Menu,Housing,Full,,FALSE,FALSE,
2/12/19 2:27PM,Cost,Button,"
For the 2018-2019 Proposed Housing Rates*
*Subject to change
www.nyu.edu
Click Here!
Check back soon for the 2019-2020 housing rates!",?Housing Cost,Housing,Full,,FALSE,FALSE,
2/12/19 2:27PM,Pictures,Button,Here are some pictures of Founders:,Founders Pictures,Housing,Full,,FALSE,FALSE,
2/12/19 2:27PM,What is the weather,Freeform,Here's the weather for Washington Square Park:,Weather,Weather,Full,,FALSE,FALSE,
2/12/19 2:27PM,All Bus Routes,Button,I'll help you find your way around the City. SuperBot to the rescue!,Bus IDK,Public Safety,Full,,FALSE,FALSE,
2/12/19 2:27PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
2/12/19 2:27PM,🏈 Athletics,Button,"NYU Athletics works to create an environment where students can flourish intellectually, athletically, and personally.
What would you like to know more about?
",Athletics Welcome,Athletics,Full,,FALSE,FALSE,
2/12/19 2:27PM,NYU Gyms,Button,"Palladium
Offers strength and aerobic areas, recreation rooms, gymnasium, and deep pool
Address
Schedule
Hours
404 Fitness
Offers strength and aerobic areas, plus recreation rooms
Address
Schedule
Hours
Brooklyn Athletic Facility
Offers strength and aerobic areas, plus gymnasium
Address
Schedule
Hours
Membership
For more information regarding gym membership
Click here
Competition Sites
For more information regarding NYU's Competition Sites
Click here",Athletics Facilities,Athletics,Full,,FALSE,FALSE,
2/12/19 2:27PM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
2/12/19 2:27PM,Health center,Freeform,"You can always reach the Student Health Center by using the wellness exchange hotline which is 212.443.9999
📞 Call now!
What question can I help you answer about the Student Health Center?",SHC Welcome,Student Health Center,Full,,FALSE,FALSE,
2/12/19 2:27PM,My insurance,Freeform,"For questions relating to your health insurance
Click here!",?Health Insurance,Student Health Center,Full,,FALSE,FALSE,
2/12/19 2:27PM,How can I meet a doctor?,Freeform,"You can always reach the Student Health Center by using the wellness exchange hotline which is 212.443.9999
📞 Call now!
What question can I help you answer about the Student Health Center?",SHC Welcome,Student Health Center,Full,,FALSE,FALSE,
2/12/19 2:28PM,Academic Calendar,Freeform,For the academic calendar,?Academic Calendar,Academics,Full,,FALSE,FALSE,
2/12/19 2:28PM,Why wasn’t school canceled today,Freeform,I think I misunderstood. Would you like me to connect you with one of my humans? ✏️,Fallback,Fallback,None,AI,TRUE,TRUE,Referring to snow day
2/12/19 2:28PM,Snow day?,Freeform,"Are you wondering if you'll soon be playing in the snow like this panda? Here are the best places to get updates about NYU closing due to snow:
Facebook
Twitter
More Info",?Snow Day,Weather,Full,,FALSE,FALSE,
2/12/19 2:28PM,Quick Facts,Button,[NYU Athletics Quick Facts graphic],Athletics Quick Facts,Athletics,Full,,FALSE,FALSE,
2/12/19 2:28PM,📍Manhattan Location,Button,"The Washington Square SHC is open Monday through Saturday at 726 Broadway, 
New York, NY 10003",SHC Manhattan,Student Health Center,Full,,FALSE,FALSE,
2/12/19 2:29PM,Event Calendar,Freeform,"For all of NYU's awesome events, check out their calendar:",?Events,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 2:29PM,Is the campus open today?,Freeform,"The general hours for Bobst are:
Open Stacks	
7 to 1AM

Library Privileges	
9AM to 7PM

Circulation & Reserves	
9AM to 10:30PM

Lower Levels 1 & 2	
24 Hours

Ask a Librarian	
24 Hours
For a more detailed list of hours
Click Here",Bobst Hours,Libraries,None,AI,TRUE,FALSE,
2/12/19 2:29PM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
2/12/19 2:29PM,📝 Registrar,Button,"The Office of the Registrar is responsible for academic policies, the student information system, and student records from application to degree conferral.",Registrar Welcome,Registrar,Full,,FALSE,FALSE,
2/12/19 2:29PM,✍️ Admissions,Button,For questions about admissions:,Admissions Menu,Admissions,Full,,FALSE,FALSE,
2/12/19 2:30PM,How much do u know about mandatory passwords update?,Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,No content,FALSE,FALSE,"User replied ""No thx, but this could be a question that a lot of people are gonna ask u""
"
2/12/19 2:30PM,Where is the best place to study?,Freeform,"Ready to hit the books? Sometimes finding a place to sit is harder than finding the motivation in the first place...
NYU Elmer Holmes Bobst Library
Seems like the eighth floor is most popular for NYU students, so probs avoid it
www.google.de
Take me there!",Study Spaces,Campus,Full,,FALSE,FALSE,
2/12/19 2:30PM,🛠 Self-Development,Button,For questions about self-development:,Development Menu,Development,Full,,FALSE,FALSE,
2/12/19 2:30PM,💪 Leadership,Button,"Leadership Development works alongside Center for Student Life, while Leadership Initiative is NYU's stand alone institute for leadership and global awards.
Which one are you interested in?",Leadership Development,Development,Full,,FALSE,FALSE,
2/12/19 2:30PM,SHC Brooklyn,Freeform,"They're located at 
6 MetroTech Center, ROG-B020
Brooklyn, New York 11201",SHC Brooklyn,Student Health Center,Full,,FALSE,FALSE,
2/12/19 2:30PM,Services Offered,Button,"Here are some of the programs offered by the NYU Student Health Center
Allergy and Immunology
Services for evaluation, information, testing, and treatment of allergies.
www.nyu.edu
More Info",SHC Services Home,Student Health Center,Full,,FALSE,FALSE,
2/12/19 2:31PM,How to get a high GPA,Freeform,"Get quick access to important information provided by OGS
Newly Admitted Students
www.nyu.edu
More Info",OGS Important Info,Global Services,None,AI,FALSE,FALSE,
2/12/19 2:31PM,Who's the easiest intro to programming professor?,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,No answer,FALSE,FALSE,
2/12/19 2:31PM,🎓 Academics,Button,For questions about academics:,Academics Menu,Academics,Full,,FALSE,FALSE,
2/12/19 2:31PM,✈️ Study Away,Button,"NYU offers unparalleled opportunities to expand and enrich your education with an integrated, globally designed curriculum. With 15 global locations around the world, the sun never sets on NYU!",Study Away Welcome,Study Away,Full,,FALSE,FALSE,
2/12/19 2:31PM,Give me financial aid,Freeform,"There are four main ways to receive more aid: 
1. Review your FAFSA
2. Changes in the number of credits, housing status, or grades
3. Budget Increase Appeal
4. Returning Undergraduate Scholarship Appeal request
To get more information, contact the StudentLink Center",?More Financial Aid,Finances,Full,,FALSE,TRUE,
2/12/19 2:31PM,how to get free meals,Freeform,"If you are a undergraduate or graduate student running out of meal swipes or money for food, you can receive immediate short-term assistance with no questions asked!
All you need to do is visit one of the following locations",?Courtesy Meals,Dining,Full,,FALSE,FALSE,
